Condition,Stimulus,Statement,CorAnsOdd,CorAnsEven,TypeOfStimuli,TotalShapesOnTable,TotalcubesOnTable,TotalOtherOnTable,VisibleShapes,Visiblecubes,VisibleOther,NotVisibleShapes,NotVisiblecubes,NotVisibleOther,NumOfBlocksAsked,BarrierPresent,WhyNo,Position,Colour,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpPrimerText.started,ExpTextISI.started,ExpPrimerText.stopped,ExpText.started,ExpImageISI.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.039995200000703,15.016283000004478,15.016283000004478,space,22.050084699993025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,034,001,2024-02-16_15h59.16.314,PsychoPy Exp,2023.1.2,60.006180627781966
RealityN,ExpTrialStim/Square_NB_3.png,"In REALITY, there are TWO cubes",b,h,TB-K,1,1,0,1,1,0,0,0,0,2,NB,PropFalse,SB2,SG,0,0,0,59,NA,NA,NA,NA,NA,37.2462852000026,0.15926739992573857,37.99825589999091,38.09840250003617,0.9984583999030292,40.03153799998108,40.43170700001065,40.573701000073925,40.573701000073925,h,1,2.156418099999428,42.74818100000266,42.74818100000266,42.74818100000266,42.74818100000266,NA,NA,NA,NA,NA,NA,034,001,2024-02-16_15h59.16.314,PsychoPy Exp,2023.1.2,60.006180627781966
BeliefN,ExpTrialStim/Triangle_B_Square_4.png,Adam THINKS there are TWO cubes,b,h,FB-Ig,2,1,1,1,0,1,1,1,0,2,B,PropFalse,SD3: TB1,SB: TO,0,1,1,215,NA,NA,NA,NA,NA,42.74818100000266,0.00190770009066909,43.49814909999259,43.59818189998623,0.8437436000676826,45.5317245000042,45.93163790006656,46.03394760005176,46.03394760005176,h,1,2.6557698999531567,48.71495360007975,48.71495360007975,48.71495360007975,48.71495360007975,NA,NA,NA,NA,NA,NA,034,001,2024-02-16_15h59.16.314,PsychoPy Exp,2023.1.2,60.006180627781966
RealityY,ExpTrialStim/Triangle_Triangle_B_7.png,"In REALITY, there are ZERO cubes",h,b,TB-K-B,2,0,2,2,0,2,0,0,0,0,B,-,TA1: TB2,TR: TY,0,2,2,32,NA,NA,NA,NA,NA,48.71495360007975,0.00199220003560185,49.448120700079016,49.5483213000698,0.8295661000302061,51.4816439000424,51.88161530008074,51.983787700068206,51.983787700068206,b,1,1.4175431000767276,53.431429799995385,53.431429799995385,53.431429799995385,53.431429799995385,NA,NA,NA,NA,NA,NA,034,001,2024-02-16_15h59.16.314,PsychoPy Exp,2023.1.2,60.006180627781966
KnowledgeN,ExpTrialStim/Square_Square_NB_5.png,Adam KNOWS there is ONE cube,b,h,TB-K,2,2,0,2,2,0,0,0,0,1,NB,PropFalse,SA3: SB2,SB: SP,0,3,3,286,NA,NA,NA,NA,NA,53.431429799995385,0.00105709990020841,54.16489440004807,54.26490690000355,0.8306187000125647,56.19830649998039,56.598310100031085,56.70043690002058,56.70043690002058,h,1,1.6931895999005064,58.41475310001988,58.41475310001988,58.41475310001988,58.41475310001988,NA,NA,NA,NA,NA,NA,034,001,2024-02-16_15h59.16.314,PsychoPy Exp,2023.1.2,60.006180627781966
KnowledgeN,ExpTrialStim/Square_Triangle_B_11.png,Adam KNOWS there are TWO cubes,b,h,TB-K-B,2,1,1,2,1,1,0,0,0,2,B,PropFalse,SB2: TA3,SG: TR,0,4,4,306,NA,NA,NA,NA,NA,58.41475310001988,0.00187059992458671,59.14819840004202,59.24826270004269,0.8295250999508426,61.18164700001944,61.58165639999788,61.68379620008636,61.68379620008636,h,1,1.2378779000137,62.94829139998183,62.94829139998183,62.94829139998183,62.94829139998183,NA,NA,NA,NA,NA,NA,034,001,2024-02-16_15h59.16.314,PsychoPy Exp,2023.1.2,60.006180627781966
RealityY,ExpTrialStim/Square_NB_1.png,"In REALITY, there is ONE cube",h,b,TB-K,1,1,0,1,1,0,0,0,0,1,NB,-,SA1,SB,0,5,5,3,NA,NA,NA,NA,NA,62.94829139998183,4.0820008143782e-4,63.681494100019336,63.781596200075,0.8307762000476941,65.71494079998229,66.1148625999922,66.21758870000485,66.21758870000485,b,1,1.0643784999847412,67.29803890001494,67.29803890001494,67.29803890001494,67.29803890001494,NA,NA,NA,NA,NA,NA,034,001,2024-02-16_15h59.16.314,PsychoPy Exp,2023.1.2,60.006180627781966
BeliefN,ExpTrialStim/Triangle_B_2.png,Adam THINKS there is ONE cube,b,h,TB-Ig,1,0,1,1,0,1,0,0,0,1,B,PropFalse,TB2,TO,0,6,6,181,NA,NA,NA,NA,NA,67.29803890001494,0.00185130001045763,68.03151680005249,68.13163249997888,0.8294373000971973,70.06480980000924,70.46482570003718,70.5669069000287,70.5669069000287,h,1,2.9547191000310704,73.54819820006378,73.54819820006378,73.54819820006378,73.54819820006378,NA,NA,NA,NA,NA,NA,034,001,2024-02-16_15h59.16.314,PsychoPy Exp,2023.1.2,60.006180627781966
RealityY,ExpTrialStim/B_Square_2.png,"In REALITY, there is ONE cube",h,b,FB-Ig,1,1,0,0,0,0,1,1,0,1,B,-,SC3,SG,0,7,7,39,NA,NA,NA,NA,NA,73.54819820006378,0.00185869995038956,74.28146359999664,74.3815854000859,0.8290690999710932,76.31492819997948,76.71492779999971,76.81703809997998,76.81703809997998,b,1,1.3845029999502003,78.23133410001174,78.23133410001174,78.23133410001174,78.23133410001174,NA,NA,NA,NA,NA,NA,034,001,2024-02-16_15h59.16.314,PsychoPy Exp,2023.1.2,60.006180627781966
BeliefN,ExpTrialStim/Triangle_NB_1.png,Adam THINKS there is ONE cube,b,h,TB-K,1,0,1,1,0,1,0,0,0,1,NB,PropFalse,TA1,TO,0,8,8,162,NA,NA,NA,NA,NA,78.23133410001174,0.00168270000722259,78.96462510002311,79.06482650001999,0.829824399901554,80.99807390000205,81.39820970001165,81.50043900008313,81.50043900008313,h,1,1.5813319999724629,83.09799220005516,83.09799220005516,83.09799220005516,83.09799220005516,NA,NA,NA,NA,NA,NA,034,001,2024-02-16_15h59.16.314,PsychoPy Exp,2023.1.2,60.006180627781966
BeliefN,ExpTrialStim/B_Square_3.png,Adam THINKS there is ONE cube,b,h,FB-Ig,1,1,0,0,0,0,1,1,0,1,B,PropTrueNoBelief,SD1,SP,0,9,9,202,NA,NA,NA,NA,NA,83.09799220005516,4.7400000039488e-4,83.83148090005852,83.93156519997865,0.8311424000421539,85.86479080002755,86.26473410008475,86.36697670002468,86.36697670002468,h,1,1.5149726000381634,87.89822199998889,87.89822199998889,87.89822199998889,87.89822199998889,NA,NA,NA,NA,NA,NA,034,001,2024-02-16_15h59.16.314,PsychoPy Exp,2023.1.2,60.006180627781966
